"TOA5","CR3000","CR3000","5938","CR3000.Std.21","CPU:ARAPIRACA-ufal24032012.CR3","35936","Table1"
"TIMESTAMP","RECORD","BattV_Avg","BP_kPa_Avg","VV_10m_Avg","Dv_10m","VV_2m_Avg","Ts_5cm_Avg","Ts_10cm_Avg","Ts_20cm_Avg","Ts_30cm_Avg","Ts_60cm_Avg","VW_30cm_Avg","PA_uS_Avg","VW_60cm_Avg","PA_uS_2_Avg","Tar_2m_Avg","AirTC_Avg","RH","VV_50cm_Avg","Rain_mm_Tot"
"TS","RN","Volts","kPa","meters/second","Degrees","meters/second","Deg C","Deg C","Deg C","Deg C","Deg C","","uSec","","uSec","Deg C","Deg C","%","meters/second","mm"
"","","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Avg","Tot"
"2017-10-05 14:50:00",132654,12.93,101.4,4.52,77.07,0,35.76,33.21,30.71,29.03,28.44,0.098,20.47,0.127,21.72,30.93,30.79,40.11,1.895,0
"2017-10-05 15:00:00",132655,12.93,101.4,4.56,82,0,35.5,33.2,30.79,29.08,28.44,0.098,20.47,0.127,21.72,30.64,30.45,40.12,1.862,0
"2017-10-05 15:10:00",132656,12.93,101.4,4.517,69.43,0,35.22,33.18,30.86,29.13,28.44,0.098,20.47,0.127,21.72,30.52,30.35,41.85,1.951,0
"2017-10-05 15:20:00",132657,12.93,101.4,4.447,63.64,0,34.95,33.14,30.92,29.18,28.44,0.098,20.47,0.127,21.72,30.39,30.2,42.37,1.983,0
"2017-10-05 15:30:00",132658,12.94,101.4,4.417,60.49,0,34.62,33.09,30.98,29.24,28.44,0.098,20.47,0.127,21.72,30.16,29.99,43.5,1.852,0
"2017-10-05 15:40:00",132659,12.94,101.4,4.377,89.2,0,34.28,33.03,31.04,29.29,28.44,0.098,20.47,0.127,21.72,30.39,30.24,42.94,1.402,0
"2017-10-05 15:50:00",132660,12.94,101.4,4.384,79.83,0,33.93,32.95,31.08,29.34,28.44,0.098,20.46,0.127,21.72,29.64,29.49,45.62,1.97,0
"2017-10-05 16:00:00",132661,12.94,101.5,4.638,59.99,0,33.57,32.86,31.12,29.39,28.44,0.098,20.46,0.127,21.72,29.64,29.44,45.55,1.67,0
"2017-10-05 16:10:00",132662,12.95,101.5,5.697,76.3,0,33.22,32.76,31.16,29.44,28.45,0.098,20.46,0.127,21.72,29.21,29.07,46.75,1.899,0
"2017-10-05 16:20:00",132663,12.95,101.5,4.716,83.4,0,32.89,32.66,31.18,29.48,28.45,0.098,20.46,0.127,21.72,28.96,28.81,47.71,1.692,0
"2017-10-05 16:30:00",132664,12.96,101.5,4.098,78.35,0,32.58,32.54,31.2,29.53,28.45,0.098,20.46,0.127,21.72,28.62,28.43,48.16,1.815,0
"2017-10-05 16:40:00",132665,12.96,101.5,4.885,64.36,0,32.25,32.42,31.22,29.57,28.45,0.098,20.46,0.127,21.72,28.25,28.07,49.22,1.831,0
"2017-10-05 16:50:00",132666,12.97,101.5,4.165,70.6,0,31.93,32.3,31.22,29.61,28.46,0.098,20.46,0.127,21.72,27.89,27.69,50.69,1.363,0
"2017-10-05 17:00:00",132667,12.97,101.5,4.082,59.99,0,31.65,32.17,31.22,29.65,28.46,0.098,20.46,0.127,21.72,27.43,27.25,52.11,1.437,0
"2017-10-05 17:10:00",132668,12.89,101.5,3.526,70.04,0,31.4,32.04,31.22,29.69,28.46,0.098,20.45,0.127,21.72,27.01,26.85,53.44,1.316,0
"2017-10-05 17:20:00",132669,12.78,101.5,3.665,89.8,0,31.15,31.91,31.21,29.73,28.47,0.098,20.45,0.127,21.72,26.64,26.46,53.54,1.608,0
"2017-10-05 17:30:00",132670,12.71,101.5,4.006,113.2,0,30.91,31.78,31.19,29.76,28.47,0.098,20.45,0.127,21.72,26.26,26.09,55.91,1.677,0
"2017-10-05 17:40:00",132671,12.68,101.5,3.406,81.8,0,30.67,31.66,31.17,29.79,17.27,0.098,20.45,0.127,21.72,25.79,25.63,56.93,1.343,0
"2017-10-05 17:50:00",132672,12.67,101.5,3.466,92.2,0,30.45,31.53,31.15,29.82,17.4,0.098,20.45,0.127,21.72,25.53,25.35,58.06,1.39,0
"2017-10-05 18:00:00",132673,12.65,101.5,3.34,72.38,0,30.26,31.4,31.12,29.84,-57.8,0.098,20.45,0.127,21.72,25.25,25.08,58.68,1.519,0
"2017-10-05 18:10:00",132674,12.64,101.6,3.764,85.9,0,30.07,31.28,31.09,29.87,-134,0.097,20.44,0.127,21.72,24.9,24.73,59.45,1.831,0
"2017-10-05 18:20:00",132675,12.63,101.6,3.946,92.2,0,29.87,31.16,31.05,29.89,-15.25,0.097,20.44,0.127,21.72,24.6,24.43,62.25,1.846,0
"2017-10-05 18:30:00",132676,12.63,101.6,3.718,88.7,0,29.7,31.04,31.02,29.9,27.13,0.097,20.44,0.127,21.72,24.34,24.18,64.83,1.849,0
"2017-10-05 18:40:00",132677,12.62,101.6,3.869,96.9,0,29.56,30.93,30.98,29.92,16.48,0.097,20.44,0.127,21.72,24.04,23.89,67.26,1.761,0
"2017-10-05 18:50:00",132678,12.61,101.6,4.244,79.88,0,29.42,30.82,30.93,29.93,17.75,0.097,20.44,0.127,21.72,23.79,23.66,69.53,1.942,0
"2017-10-05 19:00:00",132679,12.61,101.6,4.368,84.3,0,29.29,30.71,30.89,29.94,9.26,0.097,20.44,0.127,21.72,23.56,23.44,71.08,2.016,0
"2017-10-05 19:10:00",132680,12.6,101.6,4.108,79.63,0,29.16,30.6,30.84,29.95,-53.64,0.097,20.43,0.127,21.72,23.37,23.22,71.72,1.964,0
"2017-10-05 19:20:00",132681,12.6,101.6,4.082,78.13,0,29.02,30.5,30.8,29.96,-199.7,0.097,20.43,0.127,21.72,23.19,23.03,72.65,1.822,0
"2017-10-05 19:30:00",132682,12.59,101.6,4.136,93.4,0,28.9,30.4,30.75,29.96,-23.18,0.097,20.43,0.127,21.72,23.01,22.85,73.54,1.906,0
